# 기상청41_단기예보 조회서비스 오픈API활용가이드 격자 위경도 (2607) · 시트 「최종 업데이트 파일_20260701」 에서 시도 · 시군구 행만 옮김
# 이어도 두 행은 행정구역이 아니라 뺌 · 시도 코드는 행정구역코드 앞 두 자리 · 시군구 이름은 표에 적힌 대로 (붙여 씀)
sido_code,sido_name,sigungu_name,nx,ny
11,서울특별시,,60,127
11,서울특별시,종로구,60,127
11,서울특별시,중구,60,127
11,서울특별시,용산구,60,126
11,서울특별시,성동구,61,127
11,서울특별시,광진구,62,126
11,서울특별시,동대문구,61,127
11,서울특별시,중랑구,62,128
11,서울특별시,성북구,61,127
11,서울특별시,강북구,61,128
11,서울특별시,도봉구,61,129
11,서울특별시,노원구,61,129
11,서울특별시,은평구,59,127
11,서울특별시,서대문구,59,127
11,서울특별시,마포구,59,127
11,서울특별시,양천구,58,126
11,서울특별시,강서구,58,126
11,서울특별시,구로구,58,125
11,서울특별시,금천구,59,124
11,서울특별시,영등포구,58,126
11,서울특별시,동작구,59,125
11,서울특별시,관악구,59,125
11,서울특별시,서초구,61,125
11,서울특별시,강남구,61,126
11,서울특별시,송파구,62,126
11,서울특별시,강동구,62,126
12,전남광주통합특별시,,51,67
12,전남광주통합특별시,목포시,50,67
12,전남광주통합특별시,여수시,73,66
12,전남광주통합특별시,순천시,70,70
12,전남광주통합특별시,나주시,56,71
12,전남광주통합특별시,광양시,73,70
12,전남광주통합특별시,동구,60,74
12,전남광주통합특별시,서구,59,74
12,전남광주통합특별시,남구,59,73
12,전남광주통합특별시,북구,59,75
12,전남광주통합특별시,광산구,57,74
12,전남광주통합특별시,담양군,61,78
12,전남광주통합특별시,곡성군,66,77
12,전남광주통합특별시,구례군,69,75
12,전남광주통합특별시,고흥군,66,62
12,전남광주통합특별시,보성군,62,66
12,전남광주통합특별시,화순군,61,72
12,전남광주통합특별시,장흥군,59,64
12,전남광주통합특별시,강진군,57,63
12,전남광주통합특별시,해남군,54,61
12,전남광주통합특별시,영암군,56,66
12,전남광주통합특별시,무안군,52,71
12,전남광주통합특별시,함평군,52,72
12,전남광주통합특별시,영광군,52,77
12,전남광주통합특별시,장성군,57,77
12,전남광주통합특별시,완도군,57,56
12,전남광주통합특별시,진도군,48,59
12,전남광주통합특별시,신안군,50,66
26,부산광역시,,98,76
26,부산광역시,중구,97,74
26,부산광역시,서구,97,74
26,부산광역시,동구,98,75
26,부산광역시,영도구,98,74
26,부산광역시,부산진구,97,75
26,부산광역시,동래구,98,76
26,부산광역시,남구,98,75
26,부산광역시,북구,96,76
26,부산광역시,해운대구,99,75
26,부산광역시,사하구,96,74
26,부산광역시,금정구,98,77
26,부산광역시,강서구,96,76
26,부산광역시,연제구,98,76
26,부산광역시,수영구,99,75
26,부산광역시,사상구,96,75
26,부산광역시,기장군,100,77
27,대구광역시,,89,90
27,대구광역시,중구,89,90
27,대구광역시,동구,90,91
27,대구광역시,서구,88,90
27,대구광역시,남구,89,90
27,대구광역시,북구,89,91
27,대구광역시,수성구,89,90
27,대구광역시,달서구,88,90
27,대구광역시,달성군,86,88
27,대구광역시,군위군,88,99
28,인천광역시,,55,124
28,인천광역시,제물포구,54,125
28,인천광역시,영종구,53,125
28,인천광역시,미추홀구,54,124
28,인천광역시,연수구,55,123
28,인천광역시,남동구,56,124
28,인천광역시,부평구,55,125
28,인천광역시,계양구,56,126
28,인천광역시,서해구,55,126
28,인천광역시,검단구,55,127
28,인천광역시,강화군,51,130
28,인천광역시,옹진군,54,124
30,대전광역시,,67,100
30,대전광역시,동구,68,100
30,대전광역시,중구,68,100
30,대전광역시,서구,67,100
30,대전광역시,유성구,67,101
30,대전광역시,대덕구,68,100
31,울산광역시,,102,84
31,울산광역시,중구,102,84
31,울산광역시,남구,102,84
31,울산광역시,동구,104,83
31,울산광역시,북구,103,85
31,울산광역시,울주군,101,84
36,세종특별자치시,,66,103
36,세종특별자치시,세종특별자치시,66,103
41,경기도,,60,120
41,경기도,수원시장안구,60,121
41,경기도,수원시권선구,60,120
41,경기도,수원시팔달구,61,121
41,경기도,수원시영통구,61,120
41,경기도,성남시수정구,63,124
41,경기도,성남시중원구,63,124
